term,E,P,A
sound_engineering_technician,1.75,1.19,1.47
special_education_teacher,2.61,1.28,0.48
speech_therapist,2.27,1.44,0.07
spotlight_operator,1.01,0.39,-0.03
spray_painter_in_a_manufacturing_plant,1.02,0.53,1.65
stapling_machine_operator_in_a_furniture_factory,0.97,0.69,1.83
state_trooper,1.11,2.52,1.36
statistical_clerk,1.08,0.13,-0.51
statistician,1.17,0.73,-0.57
steam_presser_in_a_garment_factory,1.08,0.45,1.78
steel_rigger_on_a_construction_job,0.98,1.89,2.33
stenographer,1.18,-0.02,0.07
stock_broker,0.46,1.69,1.57
street_sweeper_operator,1.01,0.48,1.55
student_admissions_clerk,1.34,0.64,-0.26
subway_operator,1.26,1.3,1.34
supervisor_in_a_auto_repair_shop,0.9,1.18,1.08
supervisor_in_a_machine_shop,1.04,1.6,1.84
supervisor_of_a_janitorial_service,0.9,0.83,0.63
supervisor_of_a_truck_delivery_service,1.24,1.43,1.25
surgeon,2.47,2.88,1.33
surveyor,1.3,0.78,0.13
table_clearer_in_a_restaurant,1.22,-0.85,1.71
tailor,1.6,0.47,-0.19
talent_agent,0.84,1.66,1.55
tank_crew_member,1.13,1.59,1.77
tax_collector,-0.63,1.66,-0.01
taxicab_driver,0.78,0.14,1.29
teacher_assistant,1.76,0.25,0.58
technician,1.48,1.12,0.92
technician_drawing_blood,1.51,0.71,-0.07
telegraph_operator,1.09,0.12,0.13
telemarketers,-1.21,-1.19,1.13
telephone_answering_service_operator,0.93,-0.35,0.72
telephone_installer,0.9,0.37,0.39
telephone_operator,1.21,0.16,0.84
termite_exterminator,1.36,0.88,1.04
textile_worker,1.19,0.14,1.15
theater_usher,1.39,-0.6,-0.41
ticket_taker,1.18,-0.42,0.09
tire_retreader,0.83,0.27,1.2
tool_and_die_maker,0.97,0.77,1.29
tool_programmer_in_a_manufacturing_plant,1.02,0.91,1.02
tool_sharpener,0.92,0.43,1.38
toolroom_helper_in_a_chain_saw_factory,0.56,0.18,1.71
tour_guide,1.9,0.21,1.29
train_attendant,1.72,0.92,1.28
trash_hauler,1.44,0.88,2.21
travel_agent,1.7,0.75,0.19
truck_dispatcher,1.13,1.19,1.58
truck_driver,1.08,1.33,1.51
truck_drivers_helper,0.91,0.21,0.95
tv_announcer,1.25,1.31,1.59
tv_director,1.09,2.21,1.58
tv_repairman,1.54,0.58,0.39
typesetter,1.1,-0.02,0.73
typist,1.01,-0.42,1.03
upholsterer,1.26,0.14,0.27
urban_planner,1.08,1.17,0.49
vending_machine_coin_collector,0.83,-0.44,0.63
veneer_glue_spreader,0.58,-0.38,-0.2
veterinarian,2.42,1.78,1.07
veterinarian_assistant,2.2,0.79,0.51
video_game_repairer_in_arcade,1.36,0.34,1.02
waiter,1.77,-0.34,1.4
waitress,1.77,-0.5,2.04
warehouse_helper,1.02,-0.09,1.51
watch_assembler,1.3,0.14,-0.79
water_well_driller,1.11,1.22,1.82
web_developers,1.44,1.02,-0.53
weight_station_operator,0.71,0.5,0.45
welder,1.53,1.2,1.88
welfare_interviewer,0.63,1.22,-0.29
wholesale_distributor,1.2,0.9,0.61
wildlife_technician,1.87,1.09,0.91
winch_operator,1.03,1.39,1.65
wind_turbine_mechanic,1.18,1.56,1.46
window_glass_installer,1.17,0.37,0.8
windshield_installer,1.57,0.53,0.83
wire_pulling_machine_operator,1.32,0.9,1.52
wood_lathe_operator,1.17,0.42,1.47
wood_miller,1.04,0.73,1.61
wood_model_maker,1.49,0.78,0.94
wood_technologist,0.95,0.62,0.78
woodworker,1.69,1,1.45
writer_of_technical_manuals,1.17,0.37,-1.02
writers,1.84,0.9,-1.03
x_ray_technician,1.96,0.97,0.49
yarn_spinner_in_a_textile_mill,1.07,0.15,0.93
